id,product,date,true,pred,correct
1,B0026HFY10,2012-05-16,Positif,Positif,True
2,B002OULTLS,2011-12-14,Neutre,Négatif,False
3,B0019Z93VW,2011-06-16,Positif,Positif,True
4,B001SB5WFI,2011-09-15,Positif,Positif,True
5,B001Q9EGFY,2009-07-20,Positif,Positif,True
6,B002PR7FN6,2010-09-25,Positif,Positif,True
7,B006N3HZ6K,2012-09-07,Positif,Positif,True
8,B000EMPNCE,2009-08-28,Positif,Positif,True
9,B005LURDAY,2012-06-07,Négatif,Positif,False
10,B004HOSGWE,2011-10-29,Positif,Positif,True
11,B0029NIGMA,2010-01-31,Positif,Positif,True
12,B003GRUT3W,2010-10-26,Positif,Positif,True
13,B003Y5C9G6,2012-06-27,Positif,Positif,True
14,B0034EDMCW,2011-09-28,Positif,Positif,True
15,B001FCFYU8,2011-08-15,Positif,Positif,True
16,B0009F3SA0,2011-03-01,Positif,Positif,True
17,B006V79HT6,2012-03-26,Positif,Positif,True
18,B000KHMWQS,2010-07-31,Positif,Positif,True
19,B0030LH4N2,2012-04-20,Positif,Positif,True
20,B001GKV8DQ,2010-06-14,Positif,Positif,True
21,B000GAT6NG,2012-06-29,Positif,Positif,True
22,B001AS1A4Q,2012-09-11,Positif,Positif,True
23,B0006D3OX6,2007-12-08,Positif,Positif,True
24,B001IA3RV0,2012-08-21,Positif,Positif,True
25,B0085E7B8W,2010-12-24,Positif,Positif,True
26,B0018CEABE,2012-01-31,Positif,Positif,True
27,B003ANFMY8,2011-10-26,Négatif,Négatif,True
28,B000PEEBYC,2011-05-25,Négatif,Négatif,True
29,B000PDY3HI,2008-05-19,Positif,Positif,True
30,B004VEWTTQ,2012-06-09,Neutre,Neutre,True
